is_target_candidate,target_type,original_chord_size,reduced_visible_count,held_before,baseline_completion_count,comparable_view_count,coverage_signature,evidence_state,resolutions
no,LongNoteHead,2,1,absent,11,3,11001100,LocalMismatch,26
no,LongNoteHead,2,1,absent,11,3,11001100,ObservedSupport,15
no,LongNoteHead,2,1,absent,11,3,11101000,AmbiguousEvidence,118
no,LongNoteHead,2,1,absent,11,3,11101000,LocalMismatch,35
no,LongNoteHead,2,1,absent,11,3,11101000,ObservedSupport,17
no,LongNoteHead,2,1,absent,11,3,11110000,AmbiguousEvidence,39
no,LongNoteHead,2,1,absent,11,3,11110000,LocalMismatch,18
no,LongNoteHead,2,1,absent,11,3,11110000,ObservedSupport,14
no,LongNoteHead,2,1,absent,11,4,11101100,AmbiguousEvidence,62
no,LongNoteHead,2,1,absent,11,4,11101100,LocalMismatch,15
no,LongNoteHead,2,1,absent,11,4,11101100,ObservedSupport,3
no,LongNoteHead,2,1,absent,11,4,11111000,AmbiguousEvidence,28
no,LongNoteHead,2,1,absent,11,4,11111000,LocalMismatch,10
no,LongNoteHead,2,1,absent,11,4,11111000,ObservedSupport,2
no,LongNoteHead,2,1,absent,11,5,11111100,AmbiguousEvidence,68
no,LongNoteHead,2,1,absent,11,5,11111100,LocalMismatch,22
no,LongNoteHead,2,1,absent,11,6,11111110,AmbiguousEvidence,9
no,LongNoteHead,2,1,absent,11,6,11111110,LocalMismatch,1
no,LongNoteHead,2,1,absent,12,1,11000000,LocalMismatch,214
no,LongNoteHead,2,1,absent,12,1,11000000,ObservedSupport,171
no,LongNoteHead,2,1,absent,12,2,11001000,AmbiguousEvidence,59
no,LongNoteHead,2,1,absent,12,2,11001000,LocalMismatch,73
no,LongNoteHead,2,1,absent,12,2,11001000,ObservedSupport,11
no,LongNoteHead,2,1,absent,12,2,11100000,AmbiguousEvidence,88
no,LongNoteHead,2,1,absent,12,2,11100000,LocalMismatch,73
no,LongNoteHead,2,1,absent,12,2,11100000,ObservedSupport,26
no,LongNoteHead,2,1,absent,12,3,11001100,AmbiguousEvidence,127
no,LongNoteHead,2,1,absent,12,3,11001100,LocalMismatch,76
no,LongNoteHead,2,1,absent,12,3,11001100,ObservedSupport,17
no,LongNoteHead,2,1,absent,12,3,11101000,AmbiguousEvidence,230
no,LongNoteHead,2,1,absent,12,3,11101000,LocalMismatch,106
no,LongNoteHead,2,1,absent,12,3,11101000,ObservedSupport,27
no,LongNoteHead,2,1,absent,12,3,11110000,AmbiguousEvidence,52
no,LongNoteHead,2,1,absent,12,3,11110000,LocalMismatch,28
no,LongNoteHead,2,1,absent,12,3,11110000,ObservedSupport,8
no,LongNoteHead,2,1,absent,12,4,11101100,AmbiguousEvidence,155
no,LongNoteHead,2,1,absent,12,4,11101100,LocalMismatch,52
no,LongNoteHead,2,1,absent,12,4,11101100,ObservedSupport,13
no,LongNoteHead,2,1,absent,12,4,11111000,AmbiguousEvidence,65
no,LongNoteHead,2,1,absent,12,4,11111000,LocalMismatch,32
no,LongNoteHead,2,1,absent,12,4,11111000,ObservedSupport,2
no,LongNoteHead,2,1,absent,12,5,11111100,AmbiguousEvidence,126
no,LongNoteHead,2,1,absent,12,5,11111100,LocalMismatch,50
no,LongNoteHead,2,1,absent,12,6,11111110,AmbiguousEvidence,9
no,LongNoteHead,2,1,absent,12,6,11111110,LocalMismatch,2
no,LongNoteHead,2,1,absent,12,7,11111111,AmbiguousEvidence,12
no,LongNoteHead,2,1,absent,12,7,11111111,LocalMismatch,10
no,LongNoteHead,2,1,absent,5,3,11110000,AmbiguousEvidence,2
no,LongNoteHead,2,1,absent,5,3,11110000,LocalMismatch,2
no,LongNoteHead,2,1,absent,5,3,11110000,ObservedSupport,1
no,LongNoteHead,2,1,absent,6,1,11000000,ObservedSupport,6
no,LongNoteHead,2,1,absent,6,2,11001000,AmbiguousEvidence,2
no,LongNoteHead,2,1,absent,6,2,11001000,LocalMismatch,3
no,LongNoteHead,2,1,absent,6,2,11100000,AmbiguousEvidence,4
no,LongNoteHead,2,1,absent,6,2,11100000,LocalMismatch,9
no,LongNoteHead,2,1,absent,6,2,11100000,ObservedSupport,2
no,LongNoteHead,2,1,absent,6,3,11001100,AmbiguousEvidence,14
no,LongNoteHead,2,1,absent,6,3,11001100,LocalMismatch,11
no,LongNoteHead,2,1,absent,6,3,11101000,AmbiguousEvidence,5
no,LongNoteHead,2,1,absent,6,3,11101000,LocalMismatch,5
no,LongNoteHead,2,1,absent,6,3,11110000,AmbiguousEvidence,7
no,LongNoteHead,2,1,absent,6,3,11110000,LocalMismatch,7
no,LongNoteHead,2,1,absent,6,3,11110000,ObservedSupport,1
no,LongNoteHead,2,1,absent,6,4,11101100,AmbiguousEvidence,10
no,LongNoteHead,2,1,absent,6,4,11101100,LocalMismatch,9
no,LongNoteHead,2,1,absent,6,4,11101100,ObservedSupport,1
no,LongNoteHead,2,1,absent,6,4,11111000,AmbiguousEvidence,13
no,LongNoteHead,2,1,absent,6,4,11111000,LocalMismatch,15
no,LongNoteHead,2,1,absent,6,4,11111000,ObservedSupport,2
no,LongNoteHead,2,1,absent,6,5,11111100,AmbiguousEvidence,31
no,LongNoteHead,2,1,absent,6,5,11111100,LocalMismatch,9
no,LongNoteHead,2,1,absent,6,7,11111111,AmbiguousEvidence,76
no,LongNoteHead,2,1,absent,6,7,11111111,LocalMismatch,34
no,LongNoteHead,2,1,absent,7,1,11000000,LocalMismatch,12
no,LongNoteHead,2,1,absent,7,1,11000000,ObservedSupport,29
no,LongNoteHead,2,1,absent,7,2,11001000,AmbiguousEvidence,3
no,LongNoteHead,2,1,absent,7,2,11001000,LocalMismatch,1
no,LongNoteHead,2,1,absent,7,2,11001000,ObservedSupport,2
no,LongNoteHead,2,1,absent,7,2,11100000,AmbiguousEvidence,1
no,LongNoteHead,2,1,absent,7,2,11100000,LocalMismatch,1
no,LongNoteHead,2,1,absent,7,2,11100000,ObservedSupport,5
no,LongNoteHead,2,1,absent,7,3,11001100,AmbiguousEvidence,12
no,LongNoteHead,2,1,absent,7,3,11001100,LocalMismatch,3
no,LongNoteHead,2,1,absent,7,3,11001100,ObservedSupport,3
no,LongNoteHead,2,1,absent,7,3,11110000,AmbiguousEvidence,4
no,LongNoteHead,2,1,absent,7,3,11110000,LocalMismatch,1
no,LongNoteHead,2,1,absent,7,3,11110000,ObservedSupport,1
no,LongNoteHead,2,1,absent,7,4,11101100,AmbiguousEvidence,6
no,LongNoteHead,2,1,absent,8,1,11000000,LocalMismatch,10
no,LongNoteHead,2,1,absent,8,1,11000000,ObservedSupport,4
no,LongNoteHead,2,1,absent,8,3,11001100,AmbiguousEvidence,10
no,LongNoteHead,2,1,absent,8,3,11001100,LocalMismatch,4
no,LongNoteHead,2,1,absent,8,3,11110000,AmbiguousEvidence,5
no,LongNoteHead,2,1,absent,8,3,11110000,LocalMismatch,2
no,LongNoteHead,2,1,absent,8,4,11101100,AmbiguousEvidence,5
no,LongNoteHead,2,1,absent,8,4,11101100,LocalMismatch,2
no,LongNoteHead,2,1,absent,8,4,11101100,ObservedSupport,1
no,LongNoteHead,2,1,absent,8,4,11111000,AmbiguousEvidence,6
no,LongNoteHead,2,1,absent,8,4,11111000,LocalMismatch,1
no,LongNoteHead,2,1,absent,8,5,11111100,AmbiguousEvidence,8
no,LongNoteHead,2,1,absent,8,5,11111100,LocalMismatch,7
no,LongNoteHead,2,1,absent,9,1,11000000,LocalMismatch,36
no,LongNoteHead,2,1,absent,9,1,11000000,ObservedSupport,28
no,LongNoteHead,2,1,absent,9,2,11001000,AmbiguousEvidence,2
no,LongNoteHead,2,1,absent,9,2,11001000,LocalMismatch,5
no,LongNoteHead,2,1,absent,9,2,11001000,ObservedSupport,1
no,LongNoteHead,2,1,absent,9,3,11001100,AmbiguousEvidence,11
no,LongNoteHead,2,1,absent,9,3,11001100,LocalMismatch,16
no,LongNoteHead,2,1,absent,9,3,11001100,ObservedSupport,5
no,LongNoteHead,2,1,absent,9,3,11101000,AmbiguousEvidence,6
no,LongNoteHead,2,1,absent,9,3,11101000,LocalMismatch,2
no,LongNoteHead,2,1,absent,9,3,11110000,AmbiguousEvidence,4
no,LongNoteHead,2,1,absent,9,3,11110000,LocalMismatch,4
no,LongNoteHead,2,1,absent,9,3,11110000,ObservedSupport,1
no,LongNoteHead,2,1,absent,9,4,11111000,AmbiguousEvidence,6
no,LongNoteHead,2,1,absent,9,4,11111000,LocalMismatch,2
no,LongNoteHead,2,1,present,10,0,10000000,NoComparableContext,9
no,LongNoteHead,2,1,present,10,1,11000000,LocalMismatch,110
no,LongNoteHead,2,1,present,10,1,11000000,ObservedSupport,16
no,LongNoteHead,2,1,present,10,2,10001100,AmbiguousEvidence,3
no,LongNoteHead,2,1,present,10,2,10001100,LocalMismatch,14
no,LongNoteHead,2,1,present,10,2,10001100,ObservedSupport,1
no,LongNoteHead,2,1,present,10,2,10101000,AmbiguousEvidence,3
no,LongNoteHead,2,1,present,10,2,10101000,LocalMismatch,14
no,LongNoteHead,2,1,present,10,2,10101000,ObservedSupport,1
no,LongNoteHead,2,1,present,10,2,11001000,AmbiguousEvidence,3
no,LongNoteHead,2,1,present,10,2,11001000,LocalMismatch,14
no,LongNoteHead,2,1,present,10,2,11001000,ObservedSupport,1
no,LongNoteHead,2,1,present,10,2,11100000,AmbiguousEvidence,16
no,LongNoteHead,2,1,present,10,2,11100000,LocalMismatch,61
no,LongNoteHead,2,1,present,10,2,11100000,ObservedSupport,4
no,LongNoteHead,2,1,present,10,3,10101100,AmbiguousEvidence,4
no,LongNoteHead,2,1,present,10,3,10101100,LocalMismatch,5
no,LongNoteHead,2,1,present,10,3,11001100,AmbiguousEvidence,55
no,LongNoteHead,2,1,present,10,3,11001100,LocalMismatch,114
no,LongNoteHead,2,1,present,10,3,11001100,ObservedSupport,2
no,LongNoteHead,2,1,present,10,3,11101000,AmbiguousEvidence,16
no,LongNoteHead,2,1,present,10,3,11101000,LocalMismatch,27
no,LongNoteHead,2,1,present,10,3,11101000,ObservedSupport,3
no,LongNoteHead,2,1,present,10,3,11110000,AmbiguousEvidence,37
no,LongNoteHead,2,1,present,10,3,11110000,LocalMismatch,149
no,LongNoteHead,2,1,present,10,3,11110000,ObservedSupport,12
no,LongNoteHead,2,1,present,10,4,10111100,AmbiguousEvidence,16
no,LongNoteHead,2,1,present,10,4,10111100,LocalMismatch,38
no,LongNoteHead,2,1,present,10,4,11101100,AmbiguousEvidence,17
no,LongNoteHead,2,1,present,10,4,11101100,LocalMismatch,27
no,LongNoteHead,2,1,present,10,4,11101100,ObservedSupport,1
no,LongNoteHead,2,1,present,10,4,11111000,AmbiguousEvidence,6
no,LongNoteHead,2,1,present,10,4,11111000,LocalMismatch,11
no,LongNoteHead,2,1,present,10,4,11111000,ObservedSupport,1
no,LongNoteHead,2,1,present,10,5,10111110,AmbiguousEvidence,9
no,LongNoteHead,2,1,present,10,5,10111110,LocalMismatch,8
no,LongNoteHead,2,1,present,10,5,10111110,ObservedSupport,1
no,LongNoteHead,2,1,present,10,5,11111100,AmbiguousEvidence,172
no,LongNoteHead,2,1,present,10,5,11111100,LocalMismatch,269
no,LongNoteHead,2,1,present,10,6,11111110,AmbiguousEvidence,46
no,LongNoteHead,2,1,present,10,6,11111110,LocalMismatch,53
no,LongNoteHead,2,1,present,10,7,11111111,AmbiguousEvidence,6
no,LongNoteHead,2,1,present,10,7,11111111,LocalMismatch,30
no,LongNoteHead,2,1,present,11,0,10000000,NoComparableContext,111
no,LongNoteHead,2,1,present,11,1,10100000,LocalMismatch,36
no,LongNoteHead,2,1,present,11,1,10100000,ObservedSupport,5
no,LongNoteHead,2,1,present,11,1,11000000,LocalMismatch,350
no,LongNoteHead,2,1,present,11,1,11000000,ObservedSupport,61
no,LongNoteHead,2,1,present,11,2,10001100,AmbiguousEvidence,3
no,LongNoteHead,2,1,present,11,2,10001100,LocalMismatch,76
no,LongNoteHead,2,1,present,11,2,10001100,ObservedSupport,11
no,LongNoteHead,2,1,present,11,2,10101000,AmbiguousEvidence,7
no,LongNoteHead,2,1,present,11,2,10101000,LocalMismatch,11
no,LongNoteHead,2,1,present,11,2,10101000,ObservedSupport,2
no,LongNoteHead,2,1,present,11,2,10110000,AmbiguousEvidence,3
no,LongNoteHead,2,1,present,11,2,10110000,LocalMismatch,51
no,LongNoteHead,2,1,present,11,2,10110000,ObservedSupport,6
no,LongNoteHead,2,1,present,11,2,11001000,AmbiguousEvidence,8
no,LongNoteHead,2,1,present,11,2,11001000,LocalMismatch,27
no,LongNoteHead,2,1,present,11,2,11001000,ObservedSupport,5
no,LongNoteHead,2,1,present,11,2,11100000,AmbiguousEvidence,25
no,LongNoteHead,2,1,present,11,2,11100000,LocalMismatch,107
no,LongNoteHead,2,1,present,11,2,11100000,ObservedSupport,10
no,LongNoteHead,2,1,present,11,3,10101100,AmbiguousEvidence,7
no,LongNoteHead,2,1,present,11,3,10101100,LocalMismatch,23
no,LongNoteHead,2,1,present,11,3,11001100,AmbiguousEvidence,136
no,LongNoteHead,2,1,present,11,3,11001100,LocalMismatch,323
no,LongNoteHead,2,1,present,11,3,11001100,ObservedSupport,12
no,LongNoteHead,2,1,present,11,3,11101000,AmbiguousEvidence,54
no,LongNoteHead,2,1,present,11,3,11101000,LocalMismatch,72
no,LongNoteHead,2,1,present,11,3,11101000,ObservedSupport,5
no,LongNoteHead,2,1,present,11,3,11110000,AmbiguousEvidence,98
no,LongNoteHead,2,1,present,11,3,11110000,LocalMismatch,351
no,LongNoteHead,2,1,present,11,3,11110000,ObservedSupport,22
no,LongNoteHead,2,1,present,11,4,10111100,AmbiguousEvidence,103
no,LongNoteHead,2,1,present,11,4,10111100,LocalMismatch,187
no,LongNoteHead,2,1,present,11,4,11101100,AmbiguousEvidence,38
no,LongNoteHead,2,1,present,11,4,11101100,LocalMismatch,52
no,LongNoteHead,2,1,present,11,4,11111000,AmbiguousEvidence,68
no,LongNoteHead,2,1,present,11,4,11111000,LocalMismatch,90
no,LongNoteHead,2,1,present,11,4,11111000,ObservedSupport,2
no,LongNoteHead,2,1,present,11,5,10111110,AmbiguousEvidence,25
no,LongNoteHead,2,1,present,11,5,10111110,LocalMismatch,40
no,LongNoteHead,2,1,present,11,5,10111110,ObservedSupport,5
no,LongNoteHead,2,1,present,11,5,11111100,AmbiguousEvidence,653
no,LongNoteHead,2,1,present,11,5,11111100,LocalMismatch,1037
no,LongNoteHead,2,1,present,11,6,11111110,AmbiguousEvidence,227
no,LongNoteHead,2,1,present,11,6,11111110,LocalMismatch,263
no,LongNoteHead,2,1,present,11,7,11111111,AmbiguousEvidence,38
no,LongNoteHead,2,1,present,11,7,11111111,LocalMismatch,58
no,LongNoteHead,2,1,present,11,7,11111111,ObservedSupport,4
no,LongNoteHead,2,1,present,12,0,10000000,NoComparableContext,935
no,LongNoteHead,2,1,present,12,1,10001000,LocalMismatch,365
no,LongNoteHead,2,1,present,12,1,10001000,ObservedSupport,42
no,LongNoteHead,2,1,present,12,1,10100000,LocalMismatch,396
no,LongNoteHead,2,1,present,12,1,10100000,ObservedSupport,55
no,LongNoteHead,2,1,present,12,1,11000000,LocalMismatch,3138
no,LongNoteHead,2,1,present,12,1,11000000,ObservedSupport,503
no,LongNoteHead,2,1,present,12,2,10001100,AmbiguousEvidence,14
no,LongNoteHead,2,1,present,12,2,10001100,LocalMismatch,305
no,LongNoteHead,2,1,present,12,2,10001100,ObservedSupport,44
no,LongNoteHead,2,1,present,12,2,10101000,AmbiguousEvidence,81
no,LongNoteHead,2,1,present,12,2,10101000,LocalMismatch,290
no,LongNoteHead,2,1,present,12,2,10101000,ObservedSupport,25
no,LongNoteHead,2,1,present,12,2,10110000,AmbiguousEvidence,6
no,LongNoteHead,2,1,present,12,2,10110000,LocalMismatch,107
no,LongNoteHead,2,1,present,12,2,10110000,ObservedSupport,8
no,LongNoteHead,2,1,present,12,2,11001000,AmbiguousEvidence,406
no,LongNoteHead,2,1,present,12,2,11001000,LocalMismatch,1501
no,LongNoteHead,2,1,present,12,2,11001000,ObservedSupport,51
no,LongNoteHead,2,1,present,12,2,11100000,AmbiguousEvidence,386
no,LongNoteHead,2,1,present,12,2,11100000,LocalMismatch,1416
no,LongNoteHead,2,1,present,12,2,11100000,ObservedSupport,57
no,LongNoteHead,2,1,present,12,3,10101100,AmbiguousEvidence,61
no,LongNoteHead,2,1,present,12,3,10101100,LocalMismatch,107
no,LongNoteHead,2,1,present,12,3,10101100,ObservedSupport,8
no,LongNoteHead,2,1,present,12,3,10111000,AmbiguousEvidence,49
no,LongNoteHead,2,1,present,12,3,10111000,LocalMismatch,110
no,LongNoteHead,2,1,present,12,3,10111000,ObservedSupport,6
no,LongNoteHead,2,1,present,12,3,11001100,AmbiguousEvidence,354
no,LongNoteHead,2,1,present,12,3,11001100,LocalMismatch,1109
no,LongNoteHead,2,1,present,12,3,11001100,ObservedSupport,33
no,LongNoteHead,2,1,present,12,3,11101000,AmbiguousEvidence,1097
no,LongNoteHead,2,1,present,12,3,11101000,LocalMismatch,1870
no,LongNoteHead,2,1,present,12,3,11101000,ObservedSupport,36
no,LongNoteHead,2,1,present,12,3,11110000,AmbiguousEvidence,285
no,LongNoteHead,2,1,present,12,3,11110000,LocalMismatch,1014
no,LongNoteHead,2,1,present,12,3,11110000,ObservedSupport,43
no,LongNoteHead,2,1,present,12,4,10111100,AmbiguousEvidence,108
no,LongNoteHead,2,1,present,12,4,10111100,LocalMismatch,178
no,LongNoteHead,2,1,present,12,4,11101100,AmbiguousEvidence,881
no,LongNoteHead,2,1,present,12,4,11101100,LocalMismatch,1466
no,LongNoteHead,2,1,present,12,4,11101100,ObservedSupport,7
no,LongNoteHead,2,1,present,12,4,11111000,AmbiguousEvidence,449
no,LongNoteHead,2,1,present,12,4,11111000,LocalMismatch,720
no,LongNoteHead,2,1,present,12,4,11111000,ObservedSupport,8
no,LongNoteHead,2,1,present,12,5,10111110,AmbiguousEvidence,44
no,LongNoteHead,2,1,present,12,5,10111110,LocalMismatch,68
no,LongNoteHead,2,1,present,12,5,10111110,ObservedSupport,9
no,LongNoteHead,2,1,present,12,5,11111100,AmbiguousEvidence,1152
no,LongNoteHead,2,1,present,12,5,11111100,LocalMismatch,1763
no,LongNoteHead,2,1,present,12,6,11111110,AmbiguousEvidence,671
no,LongNoteHead,2,1,present,12,6,11111110,LocalMismatch,726
no,LongNoteHead,2,1,present,12,7,11111111,AmbiguousEvidence,515
no,LongNoteHead,2,1,present,12,7,11111111,LocalMismatch,791
no,LongNoteHead,2,1,present,12,7,11111111,ObservedSupport,3
no,LongNoteHead,2,1,present,5,3,10101100,AmbiguousEvidence,2
no,LongNoteHead,2,1,present,5,3,10101100,LocalMismatch,3
no,LongNoteHead,2,1,present,6,0,10000000,NoComparableContext,6
no,LongNoteHead,2,1,present,6,1,11000000,LocalMismatch,19
no,LongNoteHead,2,1,present,6,1,11000000,ObservedSupport,6
no,LongNoteHead,2,1,present,6,2,11001000,AmbiguousEvidence,1
no,LongNoteHead,2,1,present,6,2,11001000,LocalMismatch,14
no,LongNoteHead,2,1,present,6,2,11100000,AmbiguousEvidence,8
no,LongNoteHead,2,1,present,6,2,11100000,LocalMismatch,16
no,LongNoteHead,2,1,present,6,2,11100000,ObservedSupport,1
no,LongNoteHead,2,1,present,6,3,10101100,AmbiguousEvidence,1
no,LongNoteHead,2,1,present,6,3,10101100,LocalMismatch,4
no,LongNoteHead,2,1,present,6,3,11001100,AmbiguousEvidence,44
no,LongNoteHead,2,1,present,6,3,11001100,LocalMismatch,51
no,LongNoteHead,2,1,present,6,3,11001100,ObservedSupport,5
no,LongNoteHead,2,1,present,6,3,11101000,AmbiguousEvidence,25
no,LongNoteHead,2,1,present,6,3,11101000,LocalMismatch,28
no,LongNoteHead,2,1,present,6,3,11101000,ObservedSupport,2
no,LongNoteHead,2,1,present,6,3,11110000,AmbiguousEvidence,47
no,LongNoteHead,2,1,present,6,3,11110000,LocalMismatch,51
no,LongNoteHead,2,1,present,6,3,11110000,ObservedSupport,7
no,LongNoteHead,2,1,present,6,4,11101100,AmbiguousEvidence,104
no,LongNoteHead,2,1,present,6,4,11101100,LocalMismatch,74
no,LongNoteHead,2,1,present,6,4,11101100,ObservedSupport,7
no,LongNoteHead,2,1,present,6,4,11111000,AmbiguousEvidence,69
no,LongNoteHead,2,1,present,6,4,11111000,LocalMismatch,56
no,LongNoteHead,2,1,present,6,4,11111000,ObservedSupport,5
no,LongNoteHead,2,1,present,6,5,11111100,AmbiguousEvidence,468
no,LongNoteHead,2,1,present,6,5,11111100,LocalMismatch,312
no,LongNoteHead,2,1,present,6,6,11111110,AmbiguousEvidence,158
no,LongNoteHead,2,1,present,6,6,11111110,LocalMismatch,92
no,LongNoteHead,2,1,present,6,7,11111111,AmbiguousEvidence,1331
no,LongNoteHead,2,1,present,6,7,11111111,LocalMismatch,999
no,LongNoteHead,2,1,present,6,7,11111111,ObservedSupport,5
no,LongNoteHead,2,1,present,7,0,10000000,NoComparableContext,20
no,LongNoteHead,2,1,present,7,1,10001000,LocalMismatch,6
no,LongNoteHead,2,1,present,7,1,10001000,ObservedSupport,8
no,LongNoteHead,2,1,present,7,1,11000000,LocalMismatch,6
no,LongNoteHead,2,1,present,7,1,11000000,ObservedSupport,1
no,LongNoteHead,2,1,present,7,2,10110000,AmbiguousEvidence,2
no,LongNoteHead,2,1,present,7,2,10110000,LocalMismatch,4
no,LongNoteHead,2,1,present,7,2,10110000,ObservedSupport,1
no,LongNoteHead,2,1,present,7,3,10101100,AmbiguousEvidence,5
no,LongNoteHead,2,1,present,7,3,10101100,LocalMismatch,1
no,LongNoteHead,2,1,present,7,3,11001100,AmbiguousEvidence,2
no,LongNoteHead,2,1,present,7,3,11001100,LocalMismatch,4
no,LongNoteHead,2,1,present,7,7,11111111,AmbiguousEvidence,10
no,LongNoteHead,2,1,present,7,7,11111111,LocalMismatch,2
no,LongNoteHead,2,1,present,7,7,11111111,ObservedSupport,2
no,LongNoteHead,2,1,present,8,0,10000000,NoComparableContext,21
no,LongNoteHead,2,1,present,8,1,10100000,LocalMismatch,9
no,LongNoteHead,2,1,present,8,1,10100000,ObservedSupport,7
no,LongNoteHead,2,1,present,8,1,11000000,LocalMismatch,6
no,LongNoteHead,2,1,present,8,1,11000000,ObservedSupport,2
no,LongNoteHead,2,1,present,8,2,11001000,AmbiguousEvidence,1
no,LongNoteHead,2,1,present,8,2,11001000,LocalMismatch,6
no,LongNoteHead,2,1,present,8,2,11001000,ObservedSupport,1
no,LongNoteHead,2,1,present,8,3,11110000,AmbiguousEvidence,1
no,LongNoteHead,2,1,present,8,3,11110000,LocalMismatch,12
no,LongNoteHead,2,1,present,8,3,11110000,ObservedSupport,2
no,LongNoteHead,2,1,present,8,4,11111000,AmbiguousEvidence,10
no,LongNoteHead,2,1,present,8,4,11111000,LocalMismatch,4
no,LongNoteHead,2,1,present,8,7,11111111,LocalMismatch,28
no,LongNoteHead,2,1,present,9,0,10000000,NoComparableContext,58
no,LongNoteHead,2,1,present,9,1,10001000,LocalMismatch,13
no,LongNoteHead,2,1,present,9,1,10001000,ObservedSupport,3
no,LongNoteHead,2,1,present,9,1,11000000,LocalMismatch,92
no,LongNoteHead,2,1,present,9,1,11000000,ObservedSupport,21
no,LongNoteHead,2,1,present,9,2,10001100,AmbiguousEvidence,3
no,LongNoteHead,2,1,present,9,2,10001100,LocalMismatch,3
no,LongNoteHead,2,1,present,9,2,10001100,ObservedSupport,2
no,LongNoteHead,2,1,present,9,2,10110000,LocalMismatch,7
no,LongNoteHead,2,1,present,9,2,10110000,ObservedSupport,1
no,LongNoteHead,2,1,present,9,2,11001000,AmbiguousEvidence,7
no,LongNoteHead,2,1,present,9,2,11001000,LocalMismatch,17
no,LongNoteHead,2,1,present,9,2,11001000,ObservedSupport,1
no,LongNoteHead,2,1,present,9,3,11001100,AmbiguousEvidence,14
no,LongNoteHead,2,1,present,9,3,11001100,LocalMismatch,18
no,LongNoteHead,2,1,present,9,3,11001100,ObservedSupport,1
no,LongNoteHead,2,1,present,9,3,11101000,AmbiguousEvidence,2
no,LongNoteHead,2,1,present,9,3,11101000,LocalMismatch,6
no,LongNoteHead,2,1,present,9,3,11110000,AmbiguousEvidence,7
no,LongNoteHead,2,1,present,9,3,11110000,LocalMismatch,9
no,LongNoteHead,2,1,present,9,4,11111000,AmbiguousEvidence,11
no,LongNoteHead,2,1,present,9,4,11111000,LocalMismatch,13
no,LongNoteHead,2,1,present,9,5,11111100,AmbiguousEvidence,8
no,LongNoteHead,2,1,present,9,5,11111100,LocalMismatch,9
no,LongNoteHead,2,1,present,9,7,11111111,AmbiguousEvidence,6
no,LongNoteHead,2,1,present,9,7,11111111,LocalMismatch,26
no,LongNoteHead,3,2,absent,1,0,10000000,NoComparableContext,6
no,LongNoteHead,3,2,absent,1,1,10001000,ObservedSupport,1
no,LongNoteHead,3,2,absent,1,1,11000000,ObservedSupport,6
no,LongNoteHead,3,2,absent,1,2,10001100,ObservedSupport,1
no,LongNoteHead,3,2,absent,1,3,11110000,ObservedSupport,1
no,LongNoteHead,3,2,absent,10,0,10000000,NoComparableContext,18
no,LongNoteHead,3,2,absent,10,1,11000000,LocalMismatch,21
no,LongNoteHead,3,2,absent,10,1,11000000,ObservedSupport,15
no,LongNoteHead,3,2,absent,10,2,11001000,AmbiguousEvidence,44
no,LongNoteHead,3,2,absent,10,2,11001000,LocalMismatch,22
no,LongNoteHead,3,2,absent,10,2,11001000,ObservedSupport,6
